"User ID","About Section","Skills to Teach","Skills to Learn","Skill Proficiency Level (Teach)","Skill Proficiency Level (Learn)","Average Rating (as Teacher)","Average Rating (as Learner)","Number of Reviews","Past Skill Swaps History","User Activity Score","Location","Preferred Learning Style","Preferred Teaching Style"
"U093","Illustrator and fashion artist. I create visuals for the fashion industry.","Fashion Illustration, Digital Fashion Sketching","Textile Design, Pattern Making","Expert, Advanced","Beginner, Intermediate",4.9,4.8,40,"(Fashion Illustration, Textile Design)",97,"Paris, France","Visual, Stylized","Demonstration, Portfolio review"
"U094","Financial analyst specializing in venture capital and startup funding.","Venture Capital Funding, Startup Valuation","Angel Investing, Pitch Deck Creation (Advanced)","Expert, Advanced","Beginner, Intermediate",4.7,4.5,31,"(Venture Capital Funding, Angel Investing)",90,"San Francisco, USA","Strategic, High-risk","Networking, Deal analysis"
"U095","Photographer focusing on architectural and interior photography.","Architectural Photography, Interior Photography","Real Estate Photography, Drone Photography (Architecture)","Advanced, Expert","Beginner, Intermediate",4.8,4.7,34,"(Architectural Photography, Real Estate Photography)",94,"London, UK","Visual, Precision","Technical, Composition guidance"
"U096","Environmental scientist specializing in water resource management.","Water Quality Testing, Hydrology","GIS Mapping (Water Resources), Climate Adaptation","Expert, Advanced","Beginner, Intermediate",4.9,4.8,36,"(Water Quality Testing, GIS Mapping)",96,"Stockholm, Sweden","Research-based, Practical","Fieldwork, Data interpretation"
"U097","Musician and DJ. I teach DJing and music mixing.","DJing (Beginner), Music Mixing (Software)","Scratching Techniques, Live Looping","Advanced, Expert","Beginner, Intermediate",4.9,4.7,41,"(DJing, Scratching Techniques)",98,"Ibiza, Spain","Auditory, Performance-based","Hands-on, Beatmatching"
"U098","Writer and poet. I explore themes of identity and human experience through verse.","Poetry Writing, Spoken Word Performance","Literary Criticism, Publishing (Poetry)","Expert, Advanced","Beginner, Intermediate",4.7,4.6,28,"(Poetry Writing, Literary Criticism)",91,"New York, USA","Reflective, Expressive","Workshop, Peer feedback"
"U099","Fitness coach specializing in strength and conditioning for athletes.","Strength & Conditioning, Sports Performance Training","Injury Prevention (Advanced), Plyometrics","Expert, Advanced","Beginner, Intermediate",4.8,4.5,33,"(Strength & Conditioning, Injury Prevention)",95,"Los Angeles, USA","Kinesthetic, Performance-driven","Program design, Technique correction"
"U100","Educator and corporate trainer. I develop and deliver professional development programs.","Corporate Training, Leadership Development","Change Management, Public Speaking (Business)","Expert, Advanced","Beginner, Intermediate",4.9,4.7,42,"(Corporate Training, Change Management)",92,"Singapore","Structured, Practical","Facilitation, Role-playing"
"U101","Craftsman specializing in fine woodworking and custom furniture.","Fine Woodworking, Joinery (Advanced)","Wood Turning, Furniture Design (CAD)","Expert, Expert","Beginner, Intermediate",4.9,4.7,26,"(Fine Woodworking, Wood Turning)",89,"Vermont, USA","Hands-on, Precision","Detailed instruction, Project-based"
"U102","Travel blogger and digital nomad. I share tips for remote work and travel.","Digital Nomad Lifestyle, Remote Work Strategies","Travel Vlogging (Advanced), SEO for Blogs","Advanced, Expert","Beginner, Intermediate",4.8,4.8,31,"(Digital Nomad Lifestyle, Travel Vlogging)",96,"Chiang Mai, Thailand","Practical, Experiential","Mentorship, Resource sharing"
"U103","Web developer specializing in blockchain and decentralized applications.","Solidity, Blockchain Development, Web3.js","Smart Contract Security, Decentralized Finance (DeFi)","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.8,44,"(Solidity, Smart Contract Security)",99,"Zug, Switzerland","Conceptual, Innovative","Code review, Security audits"
"U104","Nutritionist and holistic health coach. I focus on gut health and mindful eating.","Gut Health, Mindful Eating, Fermentation","Ayurveda, Functional Medicine Basics","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.7,36,"(Gut Health, Ayurveda)",93,"Byron Bay, Australia","Holistic, Intuitive","Coaching, Lifestyle guidance"
"U105","Illustrator and concept artist for video games.","Game Concept Art, Environment Design (Digital)","Character Animation (Game), Level Design","Expert, Advanced","Beginner, Intermediate",4.9,4.8,41,"(Game Concept Art, Character Animation)",97,"Montreal, Canada","Visual, Imaginative","Project-based, Industry insights"
"U106","Financial advisor specializing in retirement income strategies.","Retirement Income Planning, Annuities","Long-Term Care Planning, Social Security Optimization","Expert, Advanced","Beginner, Intermediate",4.7,4.6,32,"(Retirement Income Planning, Long-Term Care)",90,"Orlando, USA","Strategic, Future-focused","Personalized plans, Risk assessment"
"U107","Photographer focusing on street and urban photography.","Street Photography (Advanced), Composition (Urban)","Analog Photography, Film Development","Expert, Advanced","Beginner, Beginner",4.8,4.7,35,"(Street Photography, Analog Photography)",94,"Tokyo, Japan","Observational, Spontaneous","Field practice, Post-processing"
"U108","Environmental scientist and data analyst.","Environmental Data Analysis, R Programming (Environmental)","Machine Learning (Environmental), Remote Sensing","Expert, Advanced","Beginner, Intermediate",4.9,4.8,37,"(Environmental Data Analysis, Machine Learning)",96,"Zurich, Switzerland","Analytical, Quantitative","Data interpretation, Software application"
"U109","Musician and music educator. I teach piano and music theory to all ages.","Piano (Classical), Music Theory (All Levels)","Jazz Improvisation, Music Production (Logic Pro)","Expert, Expert","Beginner, Intermediate",4.9,4.7,42,"(Piano, Jazz Improvisation)",98,"Vienna, Austria","Auditory, Structured","One-on-one, Progressive learning"
"U110","Writer and editor specializing in academic writing and research.","Academic Writing, Research Methodology","Statistical Analysis (SPSS), Grant Writing (Academic)","Expert, Advanced","Beginner, Intermediate",4.7,4.6,29,"(Academic Writing, Statistical Analysis)",91,"Cambridge, UK","Analytical, Precise","Editing, Structured feedback"
"U111","Fitness coach specializing in calisthenics and bodyweight training.","Calisthenics (Beginner), Bodyweight Exercises","Gymnastics Strength Training, Handstands","Advanced, Expert","Beginner, Beginner",4.8,4.5,34,"(Calisthenics, Gymnastics Strength)",95,"Barcelona, Spain","Kinesthetic, Strength-focused","Progressive overload, Technique correction"
"U112","Educator and museum professional. I design engaging exhibits and programs.","Exhibit Design (Museum), Informal Education","Curatorial Practices, Museum Collections Management","Expert, Advanced","Beginner, Intermediate",4.9,4.7,43,"(Exhibit Design, Curatorial Practices)",92,"Washington D.C., USA","Experiential, Interpretive","Project-based, Storytelling"
"U113","Craftsman specializing in bespoke shoemaking.","Bespoke Shoemaking, Leather Craft (Shoes)","Pattern Making (Shoes), Shoe Repair (Advanced)","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,27,"(Bespoke Shoemaking, Pattern Making)",89,"London, UK","Hands-on, Precision","Detailed instruction, Custom fitting"
"U114","Travel journalist and documentary filmmaker. I tell stories from around the world.","Travel Journalism, Documentary Filmmaking","Cinematography (Travel), Video Editing (Documentary)","Advanced, Expert","Beginner, Beginner",4.7,4.8,32,"(Travel Journalism, Cinematography)",91,"Kathmandu, Nepal","Narrative, Visual","Field production, Storytelling"
"U115","Web developer specializing in AI/ML integration in web apps.","TensorFlow.js, Machine Learning (Web), Python (Flask)","Deep Learning (PyTorch), Natural Language Processing (NLP)","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.8,45,"(TensorFlow.js, Deep Learning)",99,"Seattle, USA","Conceptual, Innovative","Algorithm implementation, Model deployment"
"U116","Nutritionist and sports performance coach.","Sports Nutrition (Advanced), Performance Coaching","Strength & Conditioning (Nutrition), Recovery Strategies","Expert, Advanced","Beginner, Intermediate",4.8,4.7,37,"(Sports Nutrition, Strength & Conditioning)",93,"Sydney, Australia","Practical, Goal-oriented","Personalized plans, Performance tracking"
"U117","Illustrator and editorial cartoonist. I use humor to convey messages.","Editorial Cartooning, Caricature Drawing","Political Satire, Animation (Short Form)","Expert, Advanced","Beginner, Intermediate",4.9,4.8,42,"(Editorial Cartooning, Political Satire)",97,"Washington D.C., USA","Visual, Humorous","Critique, Idea generation"
"U118","Financial advisor specializing in small business finance.","Small Business Finance, Cash Flow Management","Business Valuation, Startup Funding (SME)","Expert, Advanced","Beginner, Intermediate",4.7,4.6,33,"(Small Business Finance, Business Valuation)",90,"Austin, USA","Practical, Entrepreneurial","Consultation, Strategic planning"
"U119","Photographer focusing on conceptual and fine art photography.","Conceptual Photography, Fine Art Photography","Alternative Processes (Photography), Photo Book Design","Advanced, Expert","Beginner, Intermediate",4.8,4.7,36,"(Conceptual Photography, Alternative Processes)",94,"Berlin, Germany","Artistic, Experimental","Creative exploration, Exhibition planning"
"U120","Environmental scientist and policy advocate.","Environmental Advocacy, Policy Analysis (Environmental)","Lobbying (Environmental), Public Speaking (Advocacy)","Expert, Advanced","Beginner, Intermediate",4.9,4.8,38,"(Environmental Advocacy, Lobbying)",96,"Brussels, Belgium","Strategic, Persuasive","Debate, Policy analysis"
"U121","Musician and audio engineer. I specialize in live sound production.","Live Sound Mixing, FOH Engineering","Monitor Engineering, Acoustic Treatment","Expert, Advanced","Beginner, Intermediate",4.9,4.7,43,"(Live Sound Mixing, Monitor Engineering)",98,"Nashville, USA","Auditory, Technical","Hands-on, Troubleshooting"
"U122","Writer and novelist. I focus on character-driven narratives and world-building.","Novel Writing, World-Building","Character Development (Advanced), Plotting","Expert, Advanced","Beginner, Intermediate",4.7,4.6,30,"(Novel Writing, Character Development)",91,"London, UK","Imaginative, Structured","Workshop, Critique"
"U123","Fitness coach specializing in group fitness and high-intensity interval training (HIIT).","HIIT Training, Group Fitness Instruction","Boot Camp Design, Functional Movement Screening","Expert, Advanced","Beginner, Intermediate",4.8,4.5,35,"(HIIT Training, Boot Camp Design)",95,"Miami, USA","Energetic, Community-focused","Motivational, Large group management"
"U124","Educator and corporate learning specialist. I design training for adult learners.","Adult Learning Principles, Instructional Design (Corporate)","Learning Management Systems (LMS), Performance Consulting","Expert, Advanced","Beginner, Intermediate",4.9,4.7,44,"(Adult Learning Principles, LMS)",92,"New York, USA","Practical, Results-oriented","Case studies, Program evaluation"
"U125","Craftsman specializing in stained glass art.","Stained Glass Design, Glass Cutting, Soldering","Glass Fusing, Mosaics","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,28,"(Stained Glass Design, Glass Fusing)",89,"Prague, Czech Republic","Hands-on, Artistic","Demonstration, Creative expression"
"U126","Travel planner and cultural tour guide. I create immersive travel experiences.","Cultural Tours, Local History (Specific Regions)","Archaeology (Basics), Indigenous Cultures","Advanced, Expert","Beginner, Beginner",4.7,4.8,33,"(Cultural Tours, Archaeology)",91,"Rome, Italy","Immersive, Educational","Storytelling, Guided exploration"
"U127","Web developer specializing in game development for the web.","Phaser.js, HTML5 Game Development, WebGL","Game Physics, Multiplayer Game Development","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,45,"(Phaser.js, Game Physics)",99,"Kyoto, Japan","Creative, Problem-solving","Game design principles, Optimization"
"U128","Nutritionist and sports performance coach. I help athletes optimize their diet for peak performance.","Sports Nutrition (Advanced), Performance Dietetics","Strength & Conditioning (Nutrition), Recovery Nutrition","Expert, Advanced","Beginner, Intermediate",4.8,4.7,38,"(Sports Nutrition, Strength & Conditioning)",93,"Gold Coast, Australia","Practical, Goal-oriented","Personalized plans, Performance tracking"
"U129","Illustrator and children's book author. I combine writing and art for young readers.","Children's Book Illustration (Advanced), Storytelling (Visual)","Picture Book Writing, Publishing (Children's Books)","Expert, Advanced","Beginner, Intermediate",4.9,4.8,43,"(Children's Book Illustration, Picture Book Writing)",97,"London, UK","Visual, Narrative","Workshop, Creative process"
"U130","Financial advisor specializing in retirement planning and wealth preservation.","Retirement Planning (Advanced), Wealth Preservation","Estate Planning (Advanced), Tax-Efficient Investing","Expert, Expert","Beginner, Intermediate",4.7,4.6,34,"(Retirement Planning, Estate Planning)",90,"Zurich, Switzerland","Strategic, Long-term","Comprehensive planning, Risk management"
"U131","Photographer focusing on drone photography and videography.","Drone Photography, Drone Videography","Aerial Mapping, FPV Drone Piloting","Advanced, Expert","Beginner, Beginner",4.8,4.7,37,"(Drone Photography, Aerial Mapping)",94,"Dubai, UAE","Technical, Aerial","Flight practice, Post-production"
"U132","Environmental scientist and climate change communicator.","Climate Change Communication, Public Engagement (Environmental)","Science Journalism, Policy Advocacy (Climate)","Expert, Advanced","Beginner, Intermediate",4.9,4.8,39,"(Climate Change Communication, Science Journalism)",96,"Copenhagen, Denmark","Communicative, Impactful","Presentation skills, Media engagement"
"U133","Musician and sound designer for video games.","Game Sound Design, FMOD/Wwise","Interactive Music, Voice Acting (Game)","Expert, Advanced","Beginner, Intermediate",4.9,4.7,44,"(Game Sound Design, Interactive Music)",98,"Los Angeles, USA","Auditory, Creative","Project-based, Software application"
"U134","Writer and copywriter specializing in direct response marketing.","Direct Response Copywriting, Sales Funnel Copy","Email Marketing Strategy, Landing Page Optimization","Expert, Advanced","Beginner, Intermediate",4.7,4.6,31,"(Direct Response Copywriting, Email Marketing)",91,"New York, USA","Persuasive, Results-driven","A/B testing, Conversion optimization"
"U135","Fitness coach specializing in yoga therapy and restorative yoga.","Yoga Therapy, Restorative Yoga","Meditation (Advanced), Breathwork (Therapeutic)","Expert, Advanced","Beginner, Intermediate",4.8,4.5,36,"(Yoga Therapy, Meditation)",95,"Boulder, USA","Healing, Gentle","Guided practice, Personalized adjustments"
"U136","Educator and STEM outreach coordinator. I promote science education to young people.","STEM Education, Science Communication (Youth)","Robotics (Beginner), Coding for Kids","Expert, Advanced","Beginner, Beginner",4.9,4.7,45,"(STEM Education, Robotics)",92,"Boston, USA","Engaging, Hands-on","Demonstration, Interactive activities"
"U137","Craftsman specializing in traditional boat building.","Traditional Boat Building, Woodworking (Marine)","Sail Making, Marine Engine Maintenance (Basics)","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,29,"(Traditional Boat Building, Sail Making)",89,"Maine, USA","Hands-on, Historical","Detailed instruction, Apprenticeship"
"U138","Travel guide and outdoor adventurer. I lead expeditions and share survival skills.","Wilderness Survival, Navigation (Map & Compass)","Rock Climbing (Beginner), First Aid (Wilderness)","Advanced, Expert","Beginner, Beginner",4.7,4.8,34,"(Wilderness Survival, Rock Climbing)",91,"Queenstown, New Zealand","Experiential, Resilient","Field practice, Safety protocols"
"U139","Web developer specializing in serverless architectures.","AWS Lambda, Google Cloud Functions, Serverless Framework","Microservices Architecture, API Gateway","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,46,"(AWS Lambda, Microservices Architecture)",99,"San Francisco, USA","Scalable, Efficient","Deployment strategies, Cost optimization"
"U140","Nutritionist and public health advocate. I promote healthy eating for communities.","Public Health Nutrition, Community Health Programs","Food Policy, Health Education (Community)","Expert, Advanced","Beginner, Intermediate",4.8,4.6,39,"(Public Health Nutrition, Food Policy)",93,"Geneva, Switzerland","Community-focused, Preventative","Program development, Advocacy"
"U141","Illustrator and children's book illustrator. I bring stories to life with vibrant art.","Children's Book Illustration (Digital), Character Design (Children)","Storyboarding (Children's Books), Layout Design (Books)","Expert, Advanced","Beginner, Intermediate",4.9,4.8,44,"(Children's Book Illustration, Storyboarding)",97,"London, UK","Visual, Whimsical","Creative process, Narrative flow"
"U142","Financial advisor specializing in ethical and sustainable investing.","ESG Investing, Impact Investing","Socially Responsible Investing, Green Bonds","Expert, Advanced","Beginner, Intermediate",4.7,4.5,35,"(ESG Investing, Socially Responsible Investing)",90,"Amsterdam, Netherlands","Ethical, Values-driven","Portfolio construction, Due diligence"
"U143","Photographer focusing on fashion and editorial photography.","Fashion Photography (Editorial), Styling (Fashion)","Creative Direction (Photography), Retouching (High-End)","Advanced, Expert","Beginner, Intermediate",4.8,4.7,38,"(Fashion Photography, Creative Direction)",94,"Paris, France","Artistic, Trend-aware","Set design, Model direction"
"U144","Environmental scientist and conservation biologist.","Conservation Biology, Biodiversity Research","Ecology (Fieldwork), Wildlife Monitoring","Expert, Advanced","Beginner, Intermediate",4.9,4.8,40,"(Conservation Biology, Ecology)",96,"Costa Rica","Field-based, Research-driven","Data collection, Species identification"
"U145","Musician and music therapist. I use music for healing and well-being.","Music Therapy (Basics), Therapeutic Drumming","Sound Healing, Expressive Arts Therapy","Advanced, Expert","Beginner, Beginner",4.9,4.7,45,"(Music Therapy, Sound Healing)",98,"New York, USA","Holistic, Empathic","Guided improvisation, Active listening"
"U146","Writer and technical writer for software companies.","Software Documentation, API Documentation","User Manuals, Content Management Systems (CMS)","Expert, Advanced","Beginner, Intermediate",4.7,4.6,32,"(Software Documentation, User Manuals)",91,"San Francisco, USA","Precise, Structured","Clarity, Information architecture"
"U147","Fitness coach specializing in rehabilitation and corrective exercise.","Corrective Exercise, Post-Rehab Training","Pain Management (Exercise), Movement Assessment","Expert, Advanced","Beginner, Intermediate",4.8,4.5,37,"(Corrective Exercise, Pain Management)",95,"Sydney, Australia","Therapeutic, Personalized","Assessment, Program adaptation"
"U148","Educator and online learning platform specialist.","LMS Administration (Advanced), E-learning Analytics","Instructional Design (Advanced), User Experience (UX) for Learning","Expert, Advanced","Beginner, Intermediate",4.9,4.7,46,"(LMS Administration, Instructional Design)",92,"Dublin, Ireland","Technical, User-centric","Platform optimization, Data analysis"
"U149","Craftsman specializing in metal sculpture and welding.","Metal Sculpture, MIG Welding, TIG Welding","Forging, Jewelry Making (Metal)","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,30,"(Metal Sculpture, Forging)",89,"Berlin, Germany","Hands-on, Industrial","Safety protocols, Material properties"
"U150","Travel photographer and cultural documentarian. I capture human stories from travels.","Cultural Photography, Documentary Photography (Travel)","Ethical Storytelling, Photojournalism (Travel)","Advanced, Expert","Beginner, Beginner",4.7,4.8,35,"(Cultural Photography, Ethical Storytelling)",91,"Hanoi, Vietnam","Empathic, Observational","Interviewing, Cross-cultural communication"
"U151","Web developer specializing in progressive web apps (PWAs).","PWA Development, Service Workers, Offline First","Web Assembly, Mobile Optimization (Web)","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,47,"(PWA Development, Web Assembly)",99,"London, UK","Performance-focused, Mobile-first","Caching strategies, User experience"
"U152","Nutritionist and wellness coach focused on stress management through diet.","Stress Management (Diet), Adrenal Health","Mind-Body Nutrition, Herbal Supplements","Expert, Advanced","Beginner, Intermediate",4.8,4.6,40,"(Stress Management, Mind-Body Nutrition)",93,"Bali, Indonesia","Holistic, Preventative","Lifestyle coaching, Recipe ideas"
"U153","Illustrator and children's book author. I create whimsical and educational content.","Children's Book Illustration (Traditional), Storytelling (Children)","Educational Game Design, Interactive Storytelling","Expert, Advanced","Beginner, Intermediate",4.9,4.8,45,"(Children's Book Illustration, Educational Game Design)",97,"Kyoto, Japan","Imaginative, Educational","Creative process, Child development"
"U154","Financial advisor specializing in retirement planning for small business owners.","Small Business Retirement Plans, Succession Planning","Business Exit Strategies, Employee Benefits","Expert, Advanced","Beginner, Intermediate",4.7,4.5,36,"(Small Business Retirement, Succession Planning)",90,"Chicago, USA","Strategic, Business-focused","Tax implications, Legal considerations"
"U155","Photographer focusing on landscape and fine art nature photography.","Landscape Photography (Fine Art), Long Exposure Photography","Astrophotography (Advanced), Wildlife Tracking (Photography)","Expert, Advanced","Beginner, Intermediate",4.8,4.7,39,"(Landscape Photography, Astrophotography)",94,"Patagonia, Chile","Artistic, Patient","Composition, Natural light"
"U156","Environmental scientist and sustainability consultant for corporations.","Corporate Sustainability, ESG Reporting","Life Cycle Assessment (LCA), Green Supply Chain","Expert, Advanced","Beginner, Intermediate",4.9,4.8,41,"(Corporate Sustainability, Life Cycle Assessment)",96,"Singapore","Strategic, Business-oriented","Compliance, Impact measurement"
"U157","Musician and music producer specializing in orchestral scoring.","Orchestral Composition, MIDI Orchestration","Conducting (Basics), Music Theory (Advanced)","Expert, Advanced","Beginner, Intermediate",4.9,4.7,46,"(Orchestral Composition, Conducting)",98,"Los Angeles, USA","Classical, Technical","Arrangement, Notation"
"U158","Writer and content strategist for non-profit organizations.","Non-profit Storytelling, Grant Writing (Advanced)","Fundraising Communications, Impact Reporting","Expert, Advanced","Beginner, Intermediate",4.7,4.6,33,"(Non-profit Storytelling, Fundraising Communications)",91,"Washington D.C., USA","Mission-driven, Persuasive","Case studies, Donor relations"
"U159","Fitness coach specializing in pre/post-natal fitness.","Pre-Natal Exercise, Post-Natal Recovery","Diastasis Recti Repair, Pelvic Floor Health","Expert, Advanced","Beginner, Intermediate",4.8,4.5,38,"(Pre-Natal Exercise, Diastasis Recti)",95,"Toronto, Canada","Supportive, Safe","Personalized programs, Gentle guidance"
"U160","Educator and instructional designer for K-12 curriculum.","K-12 Curriculum Design, Differentiated Instruction","Assessment Design, Classroom Management (Advanced)","Expert, Advanced","Beginner, Intermediate",4.9,4.7,47,"(K-12 Curriculum Design, Assessment Design)",92,"Chicago, USA","Structured, Engaging","Lesson planning, Student-centered"
"U161","Craftsman specializing in traditional Japanese woodworking.","Japanese Joinery, Shoji Making","Kumiko, Urushi Lacquerware","Expert, Advanced, Expert","Beginner, Intermediate",4.8,4.6,31,"(Japanese Joinery, Kumiko)",89,"Kyoto, Japan","Hands-on, Meditative","Precision, Cultural appreciation"
"U162","Travel planner and adventure travel specialist.","Adventure Travel Planning, Expedition Logistics","Mountaineering (Basics), Scuba Diving (Beginner)","Advanced, Expert","Beginner, Beginner",4.7,4.8,36,"(Adventure Travel, Mountaineering)",91,"Denver, USA","Thrill-seeking, Prepared","Risk assessment, Gear selection"
"U163","Web developer specializing in e-learning platforms.","LMS Customization (Moodle/Canvas), SCORM/xAPI","Interactive Content Development (H5P), Gamification (Learning)","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,48,"(LMS Customization, Gamification)",99,"Berlin, Germany","Educational, User-friendly","Platform integration, Content creation"
"U164","Nutritionist and wellness coach focused on plant-based diets for athletes.","Plant-Based Sports Nutrition, Vegan Meal Planning","Endurance Nutrition (Vegan), Strength Training (Vegan Diet)","Expert, Advanced","Beginner, Intermediate",4.8,4.6,41,"(Plant-Based Sports Nutrition, Endurance Nutrition)",93,"Portland, USA","Performance-focused, Ethical","Recipe development, Supplement guidance"
"U165","Illustrator and character designer for animation studios.","Character Design (Animation), Storyboarding (Animation)","2D Animation (Toon Boom), Visual Development","Expert, Advanced","Beginner, Intermediate",4.9,4.8,46,"(Character Design, 2D Animation)",97,"Los Angeles, USA","Visual, Expressive","Portfolio review, Industry standards"
"U166","Financial advisor specializing in retirement planning for executives.","Executive Retirement Plans, Deferred Compensation","Stock Options Planning, Tax Minimization (High Income)","Expert, Advanced","Beginner, Intermediate",4.7,4.5,37,"(Executive Retirement, Stock Options)",90,"New York, USA","Strategic, High-value","Complex planning, Regulatory compliance"
"U167","Photographer focusing on product and commercial lifestyle photography.","Product Lifestyle Photography, Prop Styling","Set Design (Commercial), Lighting (Studio/Natural)","Advanced, Expert","Beginner, Intermediate",4.8,4.7,40,"(Product Lifestyle, Set Design)",94,"London, UK","Visual, Marketing-oriented","Brand alignment, Creative direction"
"U168","Environmental scientist and marine biologist.","Marine Biology, Ocean Conservation","Coral Reef Ecology, Marine Pollution Research","Expert, Advanced","Beginner, Intermediate",4.9,4.8,42,"(Marine Biology, Coral Reef Ecology)",96,"Great Barrier Reef, Australia","Field-based, Research-driven","Underwater observation, Data analysis"
"U169","Musician and music educator specializing in early childhood music.","Early Childhood Music Education, Ukulele (Beginner)","Rhythm & Movement (Children), Songwriting (Children)","Expert, Advanced","Beginner, Beginner",4.9,4.7,47,"(Early Childhood Music, Rhythm & Movement)",98,"Seattle, USA","Playful, Engaging","Interactive games, Storytelling through music"
"U170","Writer and content creator for social media.","Social Media Content Creation, Instagram Strategy","TikTok Marketing, Viral Content Principles","Advanced, Expert","Beginner, Beginner",4.7,4.6,34,"(Social Media Content, TikTok Marketing)",91,"Los Angeles, USA","Trendy, Engaging","Platform specific, Audience analysis"
"U171","Fitness coach specializing in rehabilitation and injury prevention for athletes.","Sports Injury Prevention, Athletic Taping","Corrective Exercise (Advanced), Functional Movement Screening","Expert, Advanced","Beginner, Intermediate",4.8,4.5,39,"(Sports Injury Prevention, Corrective Exercise)",95,"Melbourne, Australia","Preventative, Performance-focused","Biomechanics, Personalized programs"
"U172","Educator and university lecturer. I teach communication studies.","Public Speaking (University), Interpersonal Communication","Debate Coaching, Research Methods (Social Science)","Expert, Advanced","Beginner, Intermediate",4.9,4.7,48,"(Public Speaking, Debate Coaching)",92,"Oxford, UK","Academic, Discussion-based","Lecture, Critical analysis"
"U173","Craftsman specializing in traditional Japanese pottery (Raku).","Raku Pottery, Japanese Ceramics (Basics)","Glaze Chemistry, Kiln Firing (Advanced)","Expert, Advanced","Beginner, Intermediate",4.8,4.6,32,"(Raku Pottery, Glaze Chemistry)",89,"Kyoto, Japan","Hands-on, Artistic","Ceramic techniques, Firing process"
"U174","Travel photographer and cultural anthropologist. I document human diversity.","Ethnographic Photography, Cultural Documentation","Visual Anthropology, Field Research (Qualitative)","Advanced, Expert","Beginner, Beginner",4.7,4.8,37,"(Ethnographic Photography, Visual Anthropology)",91,"New Delhi, India","Observational, Respectful","Cross-cultural communication, Ethical representation"
"U175","Web developer specializing in cybersecurity for blockchain.","Blockchain Security Audits, Smart Contract Vulnerabilities","Cryptographic Principles, Decentralized Identity","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.7,49,"(Blockchain Security, Cryptographic Principles)",99,"Singapore","Analytical, Defensive","Vulnerability assessment, Threat modeling"
"U176","Nutritionist and functional medicine practitioner.","Functional Nutrition, Root Cause Analysis (Health)","Nutrigenomics, Personalized Nutrition","Expert, Advanced","Beginner, Intermediate",4.8,4.6,42,"(Functional Nutrition, Nutrigenomics)",93,"San Francisco, USA","Investigative, Holistic","Client assessment, Dietary protocols"
"U177","Illustrator and comic book artist. I create sequential art and visual narratives.","Comic Book Art, Sequential Art, Digital Inking","Graphic Novel Writing, Storytelling (Visual Narrative)","Expert, Advanced, Expert","Beginner, Intermediate",4.9,4.8,47,"(Comic Book Art, Graphic Novel Writing)",97,"Portland, USA","Visual, Narrative","Panel layout, Character expression"
"U178","Financial advisor specializing in financial literacy and education.","Financial Literacy, Budgeting (Personal Finance)","Debt Management, Investing for Beginners","Expert, Advanced","Beginner, Intermediate",4.7,4.5,38,"(Financial Literacy, Debt Management)",90,"Atlanta, USA","Empowering, Practical","Workshops, Simple explanations"
"U179","Photographer focusing on event and wedding photography.","Wedding Photography, Event Photography (Corporate)","Posing Techniques (Couples), Post-Production (Wedding)","Advanced, Expert","Beginner, Intermediate",4.8,4.7,41,"(Wedding Photography, Posing Techniques)",94,"Rome, Italy","Emotional, Candid","Client communication, Timeline management"
"U180","Environmental scientist and urban planner.","Urban Ecology, Sustainable Urban Planning","Green Infrastructure, Smart Cities (Environmental)","Expert, Advanced","Beginner, Intermediate",4.9,4.8,43,"(Urban Ecology, Green Infrastructure)",96,"Copenhagen, Denmark","Interdisciplinary, Practical","Policy development, Community engagement"
"U181","Musician and music producer specializing in film and TV scoring.","Film Scoring (Advanced), TV Scoring","Sound Design for Media, Foley Art","Expert, Advanced","Beginner, Intermediate",4.9,4.7,48,"(Film Scoring, Sound Design)",98,"Los Angeles, USA","Cinematic, Technical","Composition, Synchronization"
"U182","Writer and content marketer specializing in email marketing.","Email Marketing Strategy, Newsletter Design","Copywriting (Email), A/B Testing (Email)","Expert, Advanced","Beginner, Intermediate",4.7,4.6,35,"(Email Marketing, Copywriting)",91,"Dublin, Ireland","Strategic, Data-driven","Audience segmentation, Performance analysis"
"U183","Fitness coach specializing in pre/post-natal yoga.","Pre-Natal Yoga, Post-Natal Yoga","Baby & Me Yoga, Pelvic Floor Yoga","Expert, Advanced","Beginner, Intermediate",4.8,4.5,40,"(Pre-Natal Yoga, Baby & Me Yoga)",95,"Sydney, Australia","Supportive, Gentle","Guided practice, Breath awareness"
"U184","Educator and corporate learning consultant. I help companies build learning cultures.","Learning Culture Development, Employee Training Programs","Talent Development, Performance Management","Expert, Advanced","Beginner, Intermediate",4.9,4.7,49,"(Learning Culture, Talent Development)",92,"London, UK","Strategic, Organizational","Needs assessment, Program implementation"
